Trial,Program,n,W,T
5,mutex homequeue,2,8000,134345
5,mutex awesome,2,8000,206672
5,clh homequeue,2,8000,134974
5,clh awesome,2,8000,207776
5,serial,3,1000,800736
5,lockfree,3,1000,1315697
5,mutex homequeue,3,1000,1273391
5,mutex awesome,3,1000,2080522
5,clh homequeue,3,1000,1315679
5,clh awesome,3,1000,2141498
5,serial,3,2000,412116
5,lockfree,3,2000,666875
5,mutex homequeue,3,2000,653194
5,mutex awesome,3,2000,1155468
5,clh homequeue,3,2000,678311
5,clh awesome,3,2000,1172859
5,serial,3,4000,209208
5,lockfree,3,4000,342295
5,mutex homequeue,3,4000,339080
5,mutex awesome,3,4000,604571
5,clh homequeue,3,4000,344450
5,clh awesome,3,4000,610058
5,serial,3,8000,105060
5,lockfree,3,8000,172265
5,mutex homequeue,3,8000,172238
5,mutex awesome,3,8000,310586
5,clh homequeue,3,8000,173657
5,clh awesome,3,8000,312196
5,serial,7,1000,799967
5,lockfree,7,1000,2995678
5,mutex homequeue,7,1000,2860293
5,mutex awesome,7,1000,3726143
5,clh homequeue,7,1000,2960626
5,clh awesome,7,1000,3225092
5,serial,7,2000,411558
5,lockfree,7,2000,1511390
5,mutex homequeue,7,2000,1493639
5,mutex awesome,7,2000,2653998
5,clh homequeue,7,2000,1537376
5,clh awesome,7,2000,2694960
5,serial,7,4000,208950
5,lockfree,7,4000,776585
5,mutex homequeue,7,4000,765511
5,mutex awesome,7,4000,1400902
5,clh homequeue,7,4000,778466
5,clh awesome,7,4000,1411325
5,serial,7,8000,105105
5,lockfree,7,8000,388129
5,mutex homequeue,7,8000,387184
5,mutex awesome,7,8000,722182
5,clh homequeue,7,8000,391494
5,clh awesome,7,8000,726086
5,serial,13,1000,800475
5,lockfree,13,1000,3084126
5,mutex homequeue,13,1000,3581544
5,mutex awesome,13,1000,2730959
5,clh homequeue,13,1000,3157303
5,clh awesome,13,1000,2069548
5,serial,13,2000,412425
5,lockfree,13,2000,2598942
5,mutex homequeue,13,2000,2682123
5,mutex awesome,13,2000,3367986
5,clh homequeue,13,2000,2692578
5,clh awesome,13,2000,2639293
5,serial,13,4000,209586
5,lockfree,13,4000,1397625
5,mutex homequeue,13,4000,1406790
5,mutex awesome,13,4000,2538692
5,clh homequeue,13,4000,1417438
5,clh awesome,13,4000,2609684
5,serial,13,8000,105118
5,lockfree,13,8000,676968
5,mutex homequeue,13,8000,714612
5,mutex awesome,13,8000,1342149
5,clh homequeue,13,8000,705593
5,clh awesome,13,8000,1342053
5,serial,27,1000,796662
5,lockfree,27,1000,1154383
5,mutex homequeue,27,1000,571649
5,mutex awesome,27,1000,2263391
5,clh homequeue,27,1000,878077
5,clh awesome,27,1000,1418376
5,serial,27,2000,410967
5,lockfree,27,2000,401680
5,mutex homequeue,27,2000,599515
5,mutex awesome,27,2000,2369433
5,clh homequeue,27,2000,738266
5,clh awesome,27,2000,1735701
5,serial,27,4000,209061
5,lockfree,27,4000,443620
5,mutex homequeue,27,4000,45361
5,mutex awesome,27,4000,1806540
5,clh homequeue,27,4000,186281
5,clh awesome,27,4000,999873
5,serial,27,8000,105678
5,lockfree,27,8000,81201
5,mutex homequeue,27,8000,107308
5,mutex awesome,27,8000,1071543
5,clh homequeue,27,8000,78729
5,clh awesome,27,8000,763869
6,serial,1,1000,800017
6,lockfree,1,1000,767006
6,mutex homequeue,1,1000,734553
6,mutex awesome,1,1000,735550
6,clh homequeue,1,1000,757978
6,clh awesome,1,1000,758870
6,serial,1,2000,411901
6,lockfree,1,2000,403108
6,mutex homequeue,1,2000,393466
6,mutex awesome,1,2000,393264
6,clh homequeue,1,2000,401014
6,clh awesome,1,2000,400597
6,serial,1,4000,209220
6,lockfree,1,4000,206997
6,mutex homequeue,1,4000,204214
6,mutex awesome,1,4000,204321
6,clh homequeue,1,4000,206390
6,clh awesome,1,4000,206438
6,serial,1,8000,105511
6,lockfree,1,8000,104943
6,mutex homequeue,1,8000,104290
6,mutex awesome,1,8000,104223
6,clh homequeue,1,8000,104813
6,clh awesome,1,8000,104819
6,serial,2,1000,800152
6,lockfree,2,1000,953564
6,mutex homequeue,2,1000,911068
6,mutex awesome,2,1000,1377414
6,clh homequeue,2,1000,944166
6,clh awesome,2,1000,1434675
6,serial,2,2000,411932
6,lockfree,2,2000,490680
