Trial,Program,n,W,T
4,lockfree,27,1000,2257096
4,mutex homequeue,27,1000,798465
4,mutex awesome,27,1000,2168239
4,clh homequeue,27,1000,2436099
4,clh awesome,27,1000,937764
4,serial,27,2000,418203
4,lockfree,27,2000,2319777
4,mutex homequeue,27,2000,250083
4,mutex awesome,27,2000,2639417
4,clh homequeue,27,2000,1408152
4,clh awesome,27,2000,1668419
4,serial,27,4000,210465
4,lockfree,27,4000,663541
4,mutex homequeue,27,4000,70854
4,mutex awesome,27,4000,1962363
4,clh homequeue,27,4000,343711
4,clh awesome,27,4000,2519299
4,serial,27,8000,106029
4,lockfree,27,8000,853385
4,mutex homequeue,27,8000,135395
4,mutex awesome,27,8000,1059649
4,clh homequeue,27,8000,203937
4,clh awesome,27,8000,1396044
5,serial,1,1000,820604
5,lockfree,1,1000,769144
5,mutex homequeue,1,1000,733809
5,mutex awesome,1,1000,732546
5,clh homequeue,1,1000,758875
5,clh awesome,1,1000,758958
5,serial,1,2000,417965
5,lockfree,1,2000,404177
5,mutex homequeue,1,2000,393508
5,mutex awesome,1,2000,393794
5,clh homequeue,1,2000,401642
5,clh awesome,1,2000,401760
5,serial,1,4000,210145
5,lockfree,1,4000,206629
5,mutex homequeue,1,4000,203973
5,mutex awesome,1,4000,203970
5,clh homequeue,1,4000,206174
5,clh awesome,1,4000,206152
5,serial,1,8000,105524
5,lockfree,1,8000,104618
5,mutex homequeue,1,8000,103880
5,mutex awesome,1,8000,103971
5,clh homequeue,1,8000,104473
5,clh awesome,1,8000,104446
5,serial,2,1000,820650
5,lockfree,2,1000,1514985
5,mutex homequeue,2,1000,1420091
5,mutex awesome,2,1000,1459392
5,clh homequeue,2,1000,1493504
5,clh awesome,2,1000,1512911
5,serial,2,2000,417348
5,lockfree,2,2000,792712
5,mutex homequeue,2,2000,770916
5,mutex awesome,2,2000,787422
5,clh homequeue,2,2000,788368
5,clh awesome,2,2000,795129
5,serial,2,4000,210304
5,lockfree,2,4000,405507
5,mutex homequeue,2,4000,400196
5,mutex awesome,2,4000,405545
5,clh homequeue,2,4000,405076
5,clh awesome,2,4000,412374
5,serial,2,8000,105808
5,lockfree,2,8000,205819
5,mutex homequeue,2,8000,204631
5,mutex awesome,2,8000,207994
5,clh homequeue,2,8000,205275
5,clh awesome,2,8000,208982
5,serial,3,1000,821106
5,lockfree,3,1000,2231560
5,mutex homequeue,3,1000,2147665
5,mutex awesome,3,1000,2204758
5,clh homequeue,3,1000,2239032
5,clh awesome,3,1000,2284350
5,serial,3,2000,416940
5,lockfree,3,2000,1150223
5,mutex homequeue,3,2000,1148582
5,mutex awesome,3,2000,1179779
5,clh homequeue,3,2000,1174799
5,clh awesome,3,2000,1204747
5,serial,3,4000,210339
5,lockfree,3,4000,602850
5,mutex homequeue,3,4000,592891
5,mutex awesome,3,4000,609658
5,clh homequeue,3,4000,602460
5,clh awesome,3,4000,619639
5,serial,3,8000,105645
5,lockfree,3,8000,303429
5,mutex homequeue,3,8000,300770
5,mutex awesome,3,8000,311870
5,clh homequeue,3,8000,305350
5,clh awesome,3,8000,313423
5,serial,7,1000,820750
5,lockfree,7,1000,4521562
5,mutex homequeue,7,1000,4867148
5,mutex awesome,7,1000,5046965
5,clh homequeue,7,1000,5021571
5,clh awesome,7,1000,4457400
5,serial,7,2000,417767
5,lockfree,7,2000,2615488
5,mutex homequeue,7,2000,2565964
5,mutex awesome,7,2000,2758300
5,clh homequeue,7,2000,2669183
5,clh awesome,7,2000,2806474
5,serial,7,4000,210378
5,lockfree,7,4000,1336425
5,mutex homequeue,7,4000,1352212
5,mutex awesome,7,4000,1429246
5,clh homequeue,7,4000,1380474
5,clh awesome,7,4000,1442374
5,serial,7,8000,105567
5,lockfree,7,8000,694142
5,mutex homequeue,7,8000,691580
5,mutex awesome,7,8000,724685
5,clh homequeue,7,8000,693906
5,clh awesome,7,8000,731868
5,serial,13,1000,820794
5,lockfree,13,1000,3220467
5,mutex homequeue,13,1000,4077642
5,mutex awesome,13,1000,2862049
5,clh homequeue,13,1000,3375309
5,clh awesome,13,1000,2264647
5,serial,13,2000,418054
5,lockfree,13,2000,4605995
5,mutex homequeue,13,2000,4831488
5,mutex awesome,13,2000,4991883
5,clh homequeue,13,2000,4845472
5,clh awesome,13,2000,3233898
5,serial,13,4000,210509
5,lockfree,13,4000,2351412
5,mutex homequeue,13,4000,2511516
5,mutex awesome,13,4000,2664397
5,clh homequeue,13,4000,2477514
5,clh awesome,13,4000,2668822
5,serial,13,8000,105885
5,lockfree,13,8000,1162546
5,mutex homequeue,13,8000,1244363
5,mutex awesome,13,8000,1356077
5,clh homequeue,13,8000,1271889
5,clh awesome,13,8000,1354924
5,serial,27,1000,821016
5,lockfree,27,1000,693697
5,mutex homequeue,27,1000,2057961
5,mutex awesome,27,1000,2327163
5,clh homequeue,27,1000,1288995
5,clh awesome,27,1000,1805164
5,serial,27,2000,418122
5,lockfree,27,2000,939415
5,mutex homequeue,27,2000,1332170
5,mutex awesome,27,2000,3140870
5,clh homequeue,27,2000,1062480
5,clh awesome,27,2000,1067629
5,serial,27,4000,210438
5,lockfree,27,4000,988071
5,mutex homequeue,27,4000,425483
5,mutex awesome,27,4000,2041731
5,clh homequeue,27,4000,484848
5,clh awesome,27,4000,1994747
5,serial,27,8000,106029
5,lockfree,27,8000,132751
5,mutex homequeue,27,8000,309600
5,mutex awesome,27,8000,1223505
5,clh homequeue,27,8000,211013
5,clh awesome,27,8000,932530
